X,Y,ID,FSGName,TonsPerWeek,TYPE1,TYPE2,TYPE3,Address,Town,County,Zip,Phone,Website,Facebook,Active
510658.772078817,166804.607003967,152,VERSHIRE RIDING SCHOOL,0.34125,Food Establishment,Camp,,336 VERSHIRE RIDING SCHOOL RD,VERSHIRE,ORANGE,05079,,,,1
510148.481548069,164848.296587081,153,MOUNTAIN VIEW OF VERSHIRE,0.042,Nursing/Assisted Living,Residential Facility,,397 MCIVER ROAD,VERSHIRE,ORANGE,05079,(802) 685-2238,,,1
508376.023653361,170767.908012699,155,VERMONT GRAND VIEW FARM,0.063,Food Establishment,B&B,,1638 SCALES HILL RD,WASHINGTON,ORANGE,05675,8026854693,,,1
505331.896802597,178575.766031576,157,ROBERTS COUNTRY STORE,0.05,Food Establishment,Convenience Store,,2980 VT RT 110,WASHINGTON,ORANGE,05679,8022492482,,,1
502611.80312804,173785.287106496,158,WASHINGTON VILLAGE SCHOOL,0.041385,Food Establishment,School,,72 SCHOOL LN,WASHINGTON,ORANGE,05675,802-888-2312,,,1
533138.710238879,184523.733335979,159,BURNHAM MILLS,,Food Manufacturer,Food Processor,,1538 INDUSTRIAL PARK ROAD,WELLS RIVER,ORANGE,05081,,,,1
532785.880149704,184699.748201247,160,P & H TRUCK STOP #451,1.2075,Food Establishment,Convenience Store,,2886 US ROUTE 302,WELLS RIVER,Orange,05081,8024292141,,,1
533566.317205882,182236.949137649,161,GARGOYLE HOUSE,0.063,Food Establishment,Lodging,,3351 WALLACE HILL RD,NEWBURY,ORANGE,05081,8024292341,,,1
519003.370831665,157156.885285645,162,B & B CASH MARKET,0.05,Food Establishment,Caterer,,107 VT ROUTE 113,WEST FAIRLEE,ORANGE,05074,8027852539,,,1
522072.521785487,154455.359080118,163,D & G CATERERS,0.05,Food Establishment,Caterer,,430 VT ROUTE 244,WEST FAIRLEE,ORANGE,05043,,,,1
525954.93163198,164358.078921235,164,COYOTE HILL MOUNTAIN BIKE CAMP,0.105,Food Establishment,Camp,,KIDDERHOOD ROAD,WEST FAIRLEE,ORANGE,05033,,,,1
522577.148879282,154923.707099528,165,ALOHA HIVE,0.97125,Food Establishment,Camp,,LAKE FAIRLEE,WEST FAIRLEE,ORANGE,05045,,,,1
521598.014899417,154587.12766416,166,SUMMER HORIZONS,0.44625,Food Establishment,Camp,,"LAKE FAIRLEE, RT 244",WEST FAIRLEE,ORANGE,05045,,,,1
519190.352636183,156379.670946922,167,WESTSHIRE ELEMENTARY SCHOOL,0.055935,Food Establishment,School,,744 VERMONT 113,WEST FAIRLEE,ORANGE,05083,8023334668,,,1
530353.536743669,176176.809235875,168,FARWELL CAMP,0.86625,Food Establishment,Camp,,HALLS LAKE,WEST NEWBURY,ORANGE,05051,,,,1
516102.264392536,177571.059348481,169,LIMLAW FAMILY MAPLE FARM LLC,0.21,Food Establishment,Restaurant,,246 VT ROUTE 25,TOPSHAM,ORANGE,05086,8024395995,,,1
515248.935639473,179546.805776189,170,GRAMP'S COUNTRY STORE,0.05,Food Establishment,Convenience Store,,486 VT ROUTE 25,TOPSHAM,ORANGE,05040,802-439-5525,,,1
496326.318155171,180374.624243639,171,WILLIAMSTOWN ELEMENTARY SCHOOL,0.137295,Food Establishment,School,,100 BRUSH HILL RD,WILLIAMSTOWN,ORANGE,05679,8024336653,,,1
496958.23312768,179563.194438889,172,LOYAL ORDER OF MOOSE LODGE 1391,2.415,Food Establishment,Restaurant,,110 BUSINESS CENTER RD,WILLIAMSTOWN,ORANGE,05679,8024552014,,,1
494156.861932747,179853.971064151,173,SECOND SPRING,0.1155,Nursing/Assisted Living,Residential Facility,,118 CLARK ROAD,WILLIAMSTOWN,ORANGE,05679,,,,1
489958.44560385,177125.711408672,174,SWEET RETREAT MAPLE SYRUP PDTS,,Food Manufacturer,Food Processor,,229 FROST RD,WILLIAMSTOWN,ORANGE,05679,(802) 4858-525,,,1
496678.389733151,180196.66016852,175,THE PUB,0.231,Food Establishment,Restaurant,,2374 ROUTE 14,WILLIAMSTOWN,ORANGE,05679,8024335000,,http://www.facebook.com/BehindTheScenesCafe,1
452735.652655607,217768.347080709,177,DIVINE DESSERTS OF VT LLC,0.05,Food Establishment,Home-based Business,,278 BRENNAN WOODS DR,WILLIAMSTOWN,ORANGE,05495,8022383916,,https://www.facebook.com/pg/divinedessertsofvt/about/?ref=page_internal,1
